Commodity,Year,Attribute,Value
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1978,Retail weight-Lbs/year,221.375738
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1979,Retail weight-Lbs/year,221.4867059
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1980,Retail weight-Lbs/year,221.8208457
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1981,Retail weight-Lbs/year,222.070094
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1982,Retail weight-Lbs/year,217.3361497
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1983,Retail weight-Lbs/year,222.333635
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1984,Retail weight-Lbs/year,224.3930986
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1985,Retail weight-Lbs/year,227.8844234
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1986,Retail weight-Lbs/year,227.060672
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1987,Retail weight-Lbs/year,226.7357903
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1988,Retail weight-Lbs/year,228.6386235
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1989,Retail weight-Lbs/year,225.4312594
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1990,Retail weight-Lbs/year,223.0685288
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1991,Retail weight-Lbs/year,224.2430917
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1992,Retail weight-Lbs/year,228.1482622
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1993,Retail weight-Lbs/year,227.3340331
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1994,Retail weight-Lbs/year,230.1789352
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1995,Retail weight-Lbs/year,228.8606825
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1996,Retail weight-Lbs/year,227.1330482
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1997,Retail weight-Lbs/year,225.9665927
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1998,Retail weight-Lbs/year,232.6157996
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1999,Retail weight-Lbs/year,239.4450634
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2000,Retail weight-Lbs/year,238.2192826
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2001,Retail weight-Lbs/year,235.8552795
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2002,Retail weight-Lbs/year,243.057157
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2003,Retail weight-Lbs/year,242.9922033
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2004,Retail weight-Lbs/year,245.3513119
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2005,Retail weight-Lbs/year,242.8793744
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2006,Retail weight-Lbs/year,244.4457887
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2007,Retail weight-Lbs/year,243.5867576
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2008,Retail weight-Lbs/year,237.3350369
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2009,Retail weight-Lbs/year,233.7831927
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2010,Retail weight-Lbs/year,232.1450554
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2011,Retail weight-Lbs/year,226.9724322
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2012,Retail weight-Lbs/year,226.4200795
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2013,Retail weight-Lbs/year,228.3462867
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2014,Retail weight-Lbs/year,227.8644803
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2015,Retail weight-Lbs/year,235.3881983
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2016,Retail weight-Lbs/year,240.5317331
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2017,Retail weight-Lbs/year,244.8373177
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2018,Retail weight-Lbs/year,247.6060325
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1970,Consumer weight-Lbs/year,213.717634
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1971,Consumer weight-Lbs/year,217.2827508
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1972,Consumer weight-Lbs/year,215.6204933
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1973,Consumer weight-Lbs/year,202.8983046
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1974,Consumer weight-Lbs/year,209.6047407
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1975,Consumer weight-Lbs/year,203.3808658
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1976,Consumer weight-Lbs/year,212.7583191
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1977,Consumer weight-Lbs/year,211.5179737
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1978,Consumer weight-Lbs/year,209.9077687
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1979,Consumer weight-Lbs/year,210.1541104
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1980,Consumer weight-Lbs/year,210.5473396
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1981,Consumer weight-Lbs/year,210.776345
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1982,Consumer weight-Lbs/year,206.2310835
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1983,Consumer weight-Lbs/year,211.0013879
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1984,Consumer weight-Lbs/year,212.9138604
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1985,Consumer weight-Lbs/year,216.2239743
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1986,Consumer weight-Lbs/year,215.4447959
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1987,Consumer weight-Lbs/year,215.1845188
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1988,Consumer weight-Lbs/year,217.0780041
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1989,Consumer weight-Lbs/year,214.075966
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1990,Consumer weight-Lbs/year,211.8980911
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1991,Consumer weight-Lbs/year,213.0447441
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1992,Consumer weight-Lbs/year,216.7894761
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1993,Consumer weight-Lbs/year,216.0284616
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1994,Consumer weight-Lbs/year,218.7538232
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1995,Consumer weight-Lbs/year,217.5089373
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1996,Consumer weight-Lbs/year,215.8362673
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1997,Consumer weight-Lbs/year,214.7445221
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1998,Consumer weight-Lbs/year,221.0927521
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1999,Consumer weight-Lbs/year,227.6049475
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2000,Consumer weight-Lbs/year,226.4453531
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2001,Consumer weight-Lbs/year,224.1940148
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2002,Consumer weight-Lbs/year,231.0403672
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2003,Consumer weight-Lbs/year,230.9368225
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2004,Consumer weight-Lbs/year,233.1908934
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2005,Consumer weight-Lbs/year,230.8731833
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2006,Consumer weight-Lbs/year,232.3325286
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2007,Consumer weight-Lbs/year,231.5446284
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2008,Consumer weight-Lbs/year,225.6005835
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2009,Consumer weight-Lbs/year,222.1833387
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2010,Consumer weight-Lbs/year,220.625832
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2011,Consumer weight-Lbs/year,215.7184266
