Commodity,Year,Attribute,Value
Grains: Per capita availability adjusted for loss,1986,Retail weight-Lbs/year,164.0462965
Grains: Per capita availability adjusted for loss,1987,Retail weight-Lbs/year,171.6029093
Grains: Per capita availability adjusted for loss,1988,Retail weight-Lbs/year,176.0808188
Grains: Per capita availability adjusted for loss,1989,Retail weight-Lbs/year,174.6231917
Grains: Per capita availability adjusted for loss,1990,Retail weight-Lbs/year,181.0503913
Grains: Per capita availability adjusted for loss,1991,Retail weight-Lbs/year,181.8709422
Grains: Per capita availability adjusted for loss,1992,Retail weight-Lbs/year,184.3981037
Grains: Per capita availability adjusted for loss,1993,Retail weight-Lbs/year,189.6899959
Grains: Per capita availability adjusted for loss,1994,Retail weight-Lbs/year,191.1074928
Grains: Per capita availability adjusted for loss,1995,Retail weight-Lbs/year,189.6345832
Grains: Per capita availability adjusted for loss,1996,Retail weight-Lbs/year,196.8247713
Grains: Per capita availability adjusted for loss,1997,Retail weight-Lbs/year,197.0488278
Grains: Per capita availability adjusted for loss,1998,Retail weight-Lbs/year,194.7743629
Grains: Per capita availability adjusted for loss,1999,Retail weight-Lbs/year,196.2883871
Grains: Per capita availability adjusted for loss,2000,Retail weight-Lbs/year,199.4647703
Grains: Per capita availability adjusted for loss,2001,Retail weight-Lbs/year,195.2200374
Grains: Per capita availability adjusted for loss,2002,Retail weight-Lbs/year,191.3511532
Grains: Per capita availability adjusted for loss,2003,Retail weight-Lbs/year,192.3532441
Grains: Per capita availability adjusted for loss,2004,Retail weight-Lbs/year,190.7222072
Grains: Per capita availability adjusted for loss,2005,Retail weight-Lbs/year,190.9327859
Grains: Per capita availability adjusted for loss,2006,Retail weight-Lbs/year,193.8633723
Grains: Per capita availability adjusted for loss,2007,Retail weight-Lbs/year,196.8650528
Grains: Per capita availability adjusted for loss,2008,Retail weight-Lbs/year,195.9459873
Grains: Per capita availability adjusted for loss,2009,Retail weight-Lbs/year,193.9319245
Grains: Per capita availability adjusted for loss,2010,Retail weight-Lbs/year,194.196276
Grains: Per capita availability adjusted for loss,2011,Retail weight-Lbs/year,172.538096
Grains: Per capita availability adjusted for loss,2012,Retail weight-Lbs/year,174.0781558
Grains: Per capita availability adjusted for loss,2013,Retail weight-Lbs/year,174.6997562
Grains: Per capita availability adjusted for loss,2014,Retail weight-Lbs/year,174.5861454
Grains: Per capita availability adjusted for loss,2015,Retail weight-Lbs/year,173.2721676
Grains: Per capita availability adjusted for loss,2016,Retail weight-Lbs/year,171.8809589
Grains: Per capita availability adjusted for loss,2017,Retail weight-Lbs/year,172.4615968
Grains: Per capita availability adjusted for loss,2018,Retail weight-Lbs/year,173.0474672
Grains: Per capita availability adjusted for loss,2019,Retail weight-Lbs/year,173.9398201
Grains: Per capita availability adjusted for loss,2020,Retail weight-Lbs/year,173.7975387
